series,date,type,value
growth_qoq,2020-07-01,e6,13.931
growth_qoq,2020-10-01,e0,2.877
growth_qoq,2020-10-01,e1,-3.438
growth_qoq,2020-10-01,e2,27.814
growth_qoq,2020-10-01,e3,-4.214
growth_qoq,2020-10-01,e5,5.196
growth_qoq,2020-10-01,e6,6.353
growth_qoq,2021-01-01,e0,-2.132
growth_qoq,2021-01-01,e1,3.023
growth_qoq,2021-01-01,e2,-22.417
growth_qoq,2021-01-01,e3,6.208
growth_qoq,2021-01-01,e5,3.308
growth_qoq,2021-01-01,e6,6.995
growth_qoq,2021-04-01,e0,0.851
growth_qoq,2021-04-01,e1,-10.658
growth_qoq,2021-04-01,e2,1.894
growth_qoq,2021-04-01,e3,-2.603
growth_qoq,2021-04-01,e5,7.527
growth_qoq,2021-04-01,e6,6.895
growth_qoq,2021-07-01,e0,1.084
growth_qoq,2021-07-01,e1,10.563
growth_qoq,2021-07-01,e2,1.002
growth_qoq,2021-07-01,e3,-9.473
growth_qoq,2021-07-01,e5,3.8
growth_qoq,2021-07-01,e6,3.485
growth_qoq,2021-10-01,e0,12.162
growth_qoq,2021-10-01,e1,4.592
growth_qoq,2021-10-01,e2,32.565
growth_qoq,2021-10-01,e3,6.674
growth_qoq,2021-10-01,e5,12.072
growth_qoq,2021-10-01,e6,9.197
growth_qoq,2022-01-01,e0,-0.486
growth_qoq,2022-01-01,e1,4.182
growth_qoq,2022-01-01,e2,-21.077
growth_qoq,2022-01-01,e3,9.171
growth_qoq,2022-01-01,e5,-0.947
growth_qoq,2022-01-01,e6,3.515
growth_qoq,2022-04-01,e0,5.34
growth_qoq,2022-04-01,e1,0.602
growth_qoq,2022-04-01,e2,-1.711
growth_qoq,2022-04-01,e3,2.719
growth_qoq,2022-04-01,e5,12.087
growth_qoq,2022-04-01,e6,13.951
growth_qoq,2022-07-01,e0,2.976
growth_qoq,2022-07-01,e1,9.607
growth_qoq,2022-07-01,e2,5.221
growth_qoq,2022-07-01,e3,-2.956
growth_qoq,2022-07-01,e5,8.146
growth_qoq,2022-07-01,e6,4.597
growth_qoq,2022-10-01,e0,2.166
growth_qoq,2022-10-01,e1,-2.536
growth_qoq,2022-10-01,e2,29.134
growth_qoq,2022-10-01,e3,2.257
growth_qoq,2022-10-01,e5,-2.206
growth_qoq,2022-10-01,e6,-5.25
growth_qoq,2023-01-01,e0,-5.307
growth_qoq,2023-01-01,e1,1.354
