series,date,sector,value
growth_qoq,2015-10-01,p3,3.391
growth_qoq,2015-10-01,p4,0.44
growth_qoq,2015-10-01,p5,5.904
growth_qoq,2015-10-01,p6,15.438
growth_qoq,2016-01-01,p0,-4.701
growth_qoq,2016-01-01,p1,-9.805
growth_qoq,2016-01-01,p2,1.104
growth_qoq,2016-01-01,p3,-6.261
growth_qoq,2016-01-01,p4,5.94
growth_qoq,2016-01-01,p5,-5.204
growth_qoq,2016-01-01,p6,-1.053
growth_qoq,2016-04-01,p0,2.956
growth_qoq,2016-04-01,p1,15.517
growth_qoq,2016-04-01,p2,-1.919
growth_qoq,2016-04-01,p3,4.695
growth_qoq,2016-04-01,p4,-5.213
growth_qoq,2016-04-01,p5,2.247
growth_qoq,2016-04-01,p6,-2.128
growth_qoq,2016-07-01,p0,4.28
growth_qoq,2016-07-01,p1,17.242
growth_qoq,2016-07-01,p2,-7.747
growth_qoq,2016-07-01,p3,1.466
growth_qoq,2016-07-01,p4,9.761
growth_qoq,2016-07-01,p5,4.974
growth_qoq,2016-07-01,p6,-2.47
growth_qoq,2016-10-01,p0,5.515
growth_qoq,2016-10-01,p1,-4.533
growth_qoq,2016-10-01,p2,21.117
growth_qoq,2016-10-01,p3,5.677
growth_qoq,2016-10-01,p4,-2.193
growth_qoq,2016-10-01,p5,5.626
growth_qoq,2016-10-01,p6,11.398
growth_qoq,2017-01-01,p0,-1.644
growth_qoq,2017-01-01,p1,-2.543
growth_qoq,2017-01-01,p2,12.326
growth_qoq,2017-01-01,p3,-1.893
growth_qoq,2017-01-01,p4,7.353
growth_qoq,2017-01-01,p5,-4.506
growth_qoq,2017-01-01,p6,5.98
growth_qoq,2017-04-01,p0,1.819
growth_qoq,2017-04-01,p1,0.685
growth_qoq,2017-04-01,p2,-7.912
growth_qoq,2017-04-01,p3,5.719
growth_qoq,2017-04-01,p4,-3.71
growth_qoq,2017-04-01,p5,2.761
growth_qoq,2017-04-01,p6,0.386
growth_qoq,2017-07-01,p0,3.87
growth_qoq,2017-07-01,p1,14.085
