series,date,type,value
abs,2020-04-01,e3.2.2,53405.0
abs,2020-04-01,e4,7556.0
abs,2020-04-01,e5,184094.0
abs,2020-04-01,e5.1,165474.0
abs,2020-04-01,e5.2,18620.0
abs,2020-04-01,e6,172800.0
abs,2020-04-01,e6.1,141810.0
abs,2020-04-01,e6.2,30990.0
abs,2020-07-01,e0,368749.0
abs,2020-07-01,e1,230700.0
abs,2020-07-01,e1.1.01,61068.0
abs,2020-07-01,e1.1.03,7853.0
abs,2020-07-01,e1.1.04,35348.0
abs,2020-07-01,e1.1.05,11241.0
abs,2020-07-01,e1.1.07,26426.0
abs,2020-07-01,e1.1.08,19608.0
abs,2020-07-01,e1.1.09,6931.0
abs,2020-07-01,e1.1.11,17433.0
abs,2020-07-01,e1.1.12,44794.0
abs,2020-07-01,e2,44729.0
abs,2020-07-01,e3,77344.0
abs,2020-07-01,e3.1,77345.0
abs,2020-07-01,e3.1.1,44722.0
abs,2020-07-01,e3.1.2,26412.0
abs,2020-07-01,e3.1.3,6211.0
abs,2020-07-01,e3.2,77344.0
abs,2020-07-01,e3.2.1,18908.0
abs,2020-07-01,e3.2.2,58436.0
abs,2020-07-01,e4,-13738.0
abs,2020-07-01,e5,226586.0
abs,2020-07-01,e5.1,206599.0
abs,2020-07-01,e5.2,19987.0
abs,2020-07-01,e6,196872.0
abs,2020-07-01,e6.1,163532.0
abs,2020-07-01,e6.2,33339.0
abs,2020-10-01,e0,379358.0
abs,2020-10-01,e1,222768.0
abs,2020-10-01,e1.1.01,56323.0
abs,2020-10-01,e1.1.03,7603.0
abs,2020-10-01,e1.1.04,33734.0
abs,2020-10-01,e1.1.05,10366.0
abs,2020-10-01,e1.1.07,26228.0
abs,2020-10-01,e1.1.08,20153.0
abs,2020-10-01,e1.1.09,7671.0
abs,2020-10-01,e1.1.11,18667.0
abs,2020-10-01,e1.1.12,42023.0
abs,2020-10-01,e2,57170.0
abs,2020-10-01,e3,74085.0
abs,2020-10-01,e3.1,74085.0
abs,2020-10-01,e3.1.1,42660.0
abs,2020-10-01,e3.1.2,25207.0
abs,2020-10-01,e3.1.3,6218.0
abs,2020-10-01,e3.2,74085.0
abs,2020-10-01,e3.2.1,26075.0
abs,2020-10-01,e3.2.2,48010.0
abs,2020-10-01,e4,-3647.0
abs,2020-10-01,e5,238360.0
abs,2020-10-01,e5.1,217504.0
abs,2020-10-01,e5.2,20856.0
abs,2020-10-01,e6,209379.0
abs,2020-10-01,e6.1,174689.0
abs,2020-10-01,e6.2,34689.0
abs,2021-01-01,e0,371270.0
abs,2021-01-01,e1,229503.0
abs,2021-01-01,e1.1.01,59101.0
abs,2021-01-01,e1.1.03,6799.0
abs,2021-01-01,e1.1.04,35896.0
abs,2021-01-01,e1.1.05,11386.0
abs,2021-01-01,e1.1.07,27403.0
abs,2021-01-01,e1.1.08,21317.0
abs,2021-01-01,e1.1.09,6629.0
